rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
36,0.9641888371624006,0.0050394937357346225,0.9879487101374347,0.008136259816446285,0.9542677448337825,0.015616729975836928,0.9706715206426481,0.004483061879419436,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 2}"
37,0.9635205010560046,0.004780265431614771,0.987296852824415,0.007999708639500662,0.9537330087238791,0.008085345132733233,0.9701737579188489,0.003921184310407371,"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 10}"
38,0.9628516047349344,0.0058312536352122905,0.9872695320788625,0.008040847653390042,0.9526577399066749,0.008293127850737792,0.9696095475172377,0.004780706985080148,"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5}"
39,0.9625171565743994,0.004913628057875834,0.9878204298062656,0.007631114044736444,0.9515824710894705,0.009338617272499596,0.9693039335129876,0.004089476640734699,"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1}"
40,0.9621815879845155,0.004805488560329088,0.9867542593394093,0.008478889619099922,0.9521186563487234,0.00986239923179904,0.9690553856367222,0.003998025109380682,"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2}"
41,0.9608443555570496,0.004034776927551473,0.9867192586139264,0.008149546758103808,0.9499666695649653,0.00913572231228363,0.9679281016374081,0.0033664057728857166,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 10}"
42,0.9598404508607696,0.004479264873512868,0.9872112893564285,0.007879058834785856,0.9478161319305569,0.006973662924157757,0.967069659722053,0.0036560591255852155,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5}"
43,0.959506562914909,0.0038561259566883234,0.9872292128548814,0.007847631803570971,0.9472784975219547,0.009125909613834336,0.9667765558473409,0.0032303386598629778,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1}"
44,0.959506562914909,0.004647961282268967,0.9878063988278359,0.008608245610886607,0.9467394139640032,0.011106201197191462,0.9667494237813277,0.003929963244369528,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': None, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': None, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': None, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': None, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 10}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}"
45,0.9581648487700487,0.004375831620876039,0.9937855854514174,0.00405601255037166,0.9386691012375735,0.009586600616493097,0.9653969589426599,0.00384116748488093,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 10}"
51,0.9574959524489784,0.00431989683098062,0.9937823013791679,0.004053298644770975,0.9375938324203691,0.009879102485571467,0.964822936166421,0.003809053409853593,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1}"
51,0.9574959524489784,0.00431989683098062,0.9937823013791679,0.004053298644770975,0.9375938324203691,0.009879102485571467,0.964822936166421,0.003809053409853593,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2}"
53,0.9568270561279082,0.003578553817714451,0.9899704740091874,0.008388252192215161,0.94028200446338,0.01125699307837914,0.9643923476119616,0.003186199036182069,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 10}"
54,0.9558231514316287,0.003448388492546003,0.990481477572733,0.008255938132198371,0.9381314668289715,0.008896125435007302,0.9635274802749464,0.0029390470112205433,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 5}"
55,0.9551536948958841,0.0035786724743431305,0.9904781452114111,0.008253260192226117,0.9370547488624178,0.009772558016435033,0.9629493937282246,0.0031095648851795924,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 1}"
56,0.9548192467353489,0.003349728868215598,0.9904764984703117,0.008251932591830128,0.9365171144538156,0.009917066563738548,0.962661984266058,0.0029383207761942164,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 2}"
