model,accuracy,precision,recall,f1
Random Forest,0.9875097580015613,0.9850931677018634,0.9949811794228356,0.9900124843945068
Decision Tree,0.9828259172521467,0.9813664596273292,0.9912170639899623,0.9862671660424469
